MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
Arran-Elderslie M,Penner,Moiken,Local Councillor,,,Acclaimed,No,No,No
Arran-Elderslie M,Steinacker,Peter,Local Councillor,309,527,Elected,No,No,No
Arran-Elderslie M,Christie,Jennifer,Deputy Mayor,1704,2426,Elected,No,No,No
Ashfield-Colborne-Wawanosh Tp,McNeil,Glen,Mayor,,,Acclaimed,Yes,Yes,No
Ashfield-Colborne-Wawanosh Tp,Miltenburg,Jennifer,Local Councillor,1189,2373,Elected,Yes,Yes,No
Ashfield-Colborne-Wawanosh Tp,Forster,Wayne,Local Councillor,2247,2375,Elected,Yes,Yes,No
Ashfield-Colborne-Wawanosh Tp,Snobelen,Anita,Local Councillor,1298,2375,Elected,Yes,Yes,No
Ashfield-Colborne-Wawanosh Tp,Hickey,Evan,Local Councillor,1408,2375,Elected,No,No,No
Ashfield-Colborne-Wawanosh Tp,Blake,Curtis,Local Councillor,1328,2375,Elected,No,No,No
Ashfield-Colborne-Wawanosh Tp,Vanstone,Bill,Deputy Mayor,1480,2375,Elected,Yes,No,No
Asphodel-Norwood Tp,Wilford,Patrick,Mayor,813,1583,Elected,No,No,No
Asphodel-Norwood Tp,Walsh,Barry,Local Councillor,1244,4017,Elected,Yes,Yes,No
Asphodel-Norwood Tp,Warr,Paula,Local Councillor,1262,4017,Elected,Yes,Yes,No
Asphodel-Norwood Tp,Hodge-Greaves,Stephanie,Local Councillor,957,4017,Elected,No,No,No
Asphodel-Norwood Tp,Burtt,Lori,Deputy Mayor,,,Acclaimed,Yes,Yes,No
Assiginack Tp,Reid,Brenda,Mayor,428,692,Elected,No,No,No
Assiginack Tp,Maguire,Robert,Local Councillor,336,703,Elected,Yes,Yes,No
Assiginack Tp,Bowerman,Janice,Local Councillor,375,703,Elected,No,No,No
Assiginack Tp,Elliott,Dwayne,Local Councillor,472,703,Elected,No,No,No
Assiginack Tp,Hooper,Jennifer,Local Councillor,301,703,Elected,No,No,No
Athens Tp,Scott,Herb,Mayor,421,623,Elected,Yes,Yes,No
Athens Tp,Alguire,Darin,Local Councillor,456,637,Elected,Yes,Yes,No
Athens Tp,Evans,Todd,Local Councillor,489,637,Elected,Yes,Yes,No
Athens Tp,Kearney,Greg,Local Councillor,460,637,Elected,Yes,Yes,No
Athens Tp,Layng,Rob,Local Councillor,534,637,Elected,Yes,Yes,No
Athens Tp,Smith,Matt,Local Councillor,326,637,Elected,No,No,No
Athens Tp,Dancy,Anne Marie,Local Councillor,520,637,Elected,No,No,No
Atikokan Tp,Ferguson,Rob,Mayor,788,1129,Elected,Yes,No,No
Atikokan Tp,Johnson,Jim,Local Councillor,836,1130,Elected,Yes,Yes,No
Atikokan Tp,Shine,Elizabeth,Local Councillor,866,1130,Elected,Yes,Yes,No
Atikokan Tp,Knowles,Gord,Local Councillor,882,1130,Elected,No,No,No
Atikokan Tp,McQuay,Kristi-Lynn,Local Councillor,605,1130,Elected,No,No,No
Atikokan Tp,Martin,Gordon,Local Councillor,959,1130,Elected,No,No,No
Atikokan Tp,Zacharias,Janelle,Local Councillor,662,1130,Elected,No,No,No
Augusta Tp,Shaver,Jeff,Mayor,1171,1912,Elected,Yes,No,No
Augusta Tp,Bowman,Michele,Local Councillor,1605,5791,Elected,Yes,Yes,No
Augusta Tp,Henry,Tanya,Local Councillor,1604,5791,Elected,Yes,Yes,No
Augusta Tp,Pape,Hendrik,Local Councillor,1327,5791,Elected,No,No,No
Augusta Tp,Wynands,Adrian,Deputy Mayor,1140,1908,Elected,No,No,No
Aurora T,Mrakas,Tom,Mayor,7743,11142,Elected,Yes,Yes,No
Aurora T,Weese,Ron,Local Councillor,1445,2324,Elected,No,No,No
Aurora T,Gilliland,Rachel,Local Councillor,1070,2030,Elected,Yes,Yes,No
Aurora T,Gaertner,Wendy,Local Councillor,1210,2526,Elected,Yes,Yes,No
Aurora T,Thompson,Michael,Local Councillor,744,1067,Elected,Yes,Yes,No
Aurora T,Gallo,John,Local Councillor,602,1990,Elected,Yes,Yes,No
Aurora T,Kim,Harold,Local Councillor,801,1104,Elected,Yes,Yes,No
Aylmer T,Couckuyt,Jack,Mayor,712,1715,Elected,No,No,No
Aylmer T,Chapman,Jamie,Local Councillor,,,Acclaimed,Yes,Yes,No
Aylmer T,Oslach,Arthur,Local Councillor,,,Acclaimed,Yes,Yes,No
Aylmer T,Desrosiers,Kathryn,Local Councillor,,,Acclaimed,No,No,No
Aylmer T,Vanraes,William,Local Councillor,,,Acclaimed,No,No,No
Aylmer T,Rauhe,Jason,Local Councillor,,,Acclaimed,No,No,No
Aylmer T,Barbour,Pete,Deputy Mayor,1181,1705,Elected,Yes,No,No
Baldwin Tp,Gorham,Vern,Mayor,,,Acclaimed,Yes,Yes,No
Baldwin Tp,Maltais,Ray,Local Councillor,124,807,Elected,Yes,Yes,No
Baldwin Tp,McDowell,Bert,Local Councillor,114,807,Elected,Yes,Yes,No
Baldwin Tp,Cote,Jason,Local Councillor,139,807,Elected,No,No,No
Baldwin Tp,Lepine,"Gerald, Marc",Local Councillor,128,807,Elected,No,No,No
Bancroft T,Jenkins,Paul,Mayor,697,1496,Elected,Yes,Yes,No
Bancroft T,McGibbon,Barry,Local Councillor,327,1457,Elected,Yes,Yes,No
Bancroft T,McGibbon,Tracy,Local Councillor,521,2300,Elected,Yes,Yes,No
Bancroft T,Mullett,Charles,Local Councillor,283,1457,Elected,Yes,Yes,No
Bancroft T,Miles,Valerie,Local Councillor,293,1457,Elected,Yes,Yes,No
Bancroft T,Eastman,George,Local Councillor,407,2300,Elected,No,No,No
Bancroft T,Kavanagh,Mary,Local Councillor,508,2300,Elected,No,No,No
Barrie C,Nuttall,Alex,Mayor,13401,31368,Elected,No,No,No
Barrie C,Riepma,Clare,Local Councillor,1752,3536,Elected,Yes,Yes,No
Barrie C,Nixon,Craig,Local Councillor,1418,3825,Elected,No,No,No
Barrie C,Kungl,Ann-Marie,Local Councillor,2001,2752,Elected,Yes,Yes,No
Barrie C,Courser,Amy,Local Councillor,1134,3042,Elected,No,No,No
Barrie C,Thomson,Robert,Local Councillor,,,Acclaimed,Yes,Yes,No
Barrie C,Nigussie,Nigussie,Local Councillor,1036,3450,Elected,No,No,No
Barrie C,Harvey,Gary,Local Councillor,,,Acclaimed,Yes,Yes,No
Barrie C,Harris,Jim,Local Councillor,2877,3640,Elected,Yes,Yes,No
Barrie C,Morales,Sergio,Local Councillor,1427,2106,Elected,Yes,Yes,No
Barrie C,Hamilton,Bryn,Local Councillor,1896,3622,Elected,No,No,No
Bayham M,Ketchabaw,Ed,Mayor,864,1393,Elected,Yes,Yes,No
Bayham M,Chilcott,Susan,Local Councillor,281,381,Elected,Yes,Yes,No
Bayham M,Froese,Dan,Local Councillor,327,461,Elected,Yes,Yes,No
Bayham M,Emerson,Timothy D.,Local Councillor,308,514,Elected,No,No,No
Bayham M,Weisler,Rainey,Deputy Mayor,,,Acclaimed,Yes,Yes,No
Beckwith Tp,Kidd,Richard,Reeve,,,Acclaimed,Yes,Yes,No
Beckwith Tp,McKenna-Kelso,Jessica,Local Councillor,965,,Elected,No,No,No
Beckwith Tp,Nicholson-Watson,Kerri,Local Councillor,863,,Elected,No,No,No
Beckwith Tp,Rose,Erin,Local Councillor,1087,,Elected,No,No,No
Beckwith Tp,Dowdall,Brian,Deputy Reeve,1313,,Elected,Yes,No,No
Belleville C,Ellis,Neil,Mayor,9194,15605,Elected,No,No,No
Belleville C,Allsopp,Tyler,Local Councillor,7695,11857,Elected,Yes,Yes,No
Belleville C,Carr,Paul,Local Councillor,2781,3748,Elected,Yes,Yes,No
Belleville C,Kelly,Sean,Local Councillor,6058,11857,Elected,Yes,Yes,No
Belleville C,Malette,Chris,Local Councillor,6528,11857,Elected,Yes,Yes,No
Belleville C,Thompson,Garnet,Local Councillor,6767,11857,Elected,Yes,Yes,No
Belleville C,Chatten,Lisa Anne,Local Councillor,4331,11857,Elected,No,No,No
Belleville C,Enright-Miller,Barbara,Local Councillor,4050,11857,Elected,No,No,No
Belleville C,Brown,Kathryn Ann,Local Councillor,1727,3748,Elected,No,No,No
Billings Tp,Barker,Bryan,Mayor,,,Acclaimed,Yes,No,No
Billings Tp,Hunt,Michael,Local Councillor,359,1668,Elected,Yes,Yes,No
Billings Tp,Hillyard,David,Local Councillor,381,1668,Elected,No,No,No
Billings Tp,Cahill,Jim,Local Councillor,301,1668,Elected,No,No,No
Billings Tp,Grogan,Vincent,Local Councillor,254,1668,Elected,No,No,No
Black River - Matheson Tp,Bender,Doug,Mayor,,,Acclaimed,No,No,No
Black River - Matheson Tp,Dyment,Dave,Local Councillor,133,155,Elected,Yes,Yes,No
Black River - Matheson Tp,De Marchi,Dan,Local Councillor,,,Acclaimed,Yes,Yes,No
Black River - Matheson Tp,Druer,Kim,Local Councillor,,,Acclaimed,No,No,No
Black River - Matheson Tp,Rondeau,Chantal,Local Councillor,,,Acclaimed,No,No,No
Black River - Matheson Tp,Neal,Keith,Local Councillor,,,Acclaimed,No,No,No
Black River - Matheson Tp,Gadoury,Louise,Local Councillor,,,Acclaimed,No,No,No
Blandford - Blenheim Tp,Peterson,Mark,Mayor,,,Acclaimed,Yes,Yes,No
Blandford - Blenheim Tp,Banbury,George Bruce,Local Councillor,765,,Elected,Yes,Yes,No
Blandford - Blenheim Tp,Demarest,Nancy,Local Councillor,1073,,Elected,Yes,Yes,No
Blandford - Blenheim Tp,Barnes,Daryl,Local Councillor,576,,Elected,No,No,No
Blandford - Blenheim Tp,Young,Tina,Local Councillor,935,,Elected,No,No,No
Blind River T,,,Vacant - Local Councillor,,,,,,
Blind River T,Hagman,Sally,Mayor,,,Acclaimed,Yes,Yes,No
Blind River T,Posteraro,Jennifer,Local Councillor,,,Acclaimed,Yes,Yes,No
Blind River T,Dunbar,Betty Ann,Local Councillor,,,Acclaimed,Yes,Yes,No
Blind River T,Dunbar,Jim,Local Councillor,,,Acclaimed,Yes,Yes,No
Blind River T,Summers,Paula,Local Councillor,,,Acclaimed,Yes,Yes,No
Blind River T,Connell,Joe,Local Councillor,,,Acclaimed,No,No,No
Bluewater M,Klopp,Paul,Mayor,,,Acclaimed,Yes,Yes,No
Bluewater M,Whetstone,Bill,Local Councillor,,,Acclaimed,Yes,Yes,No
Bluewater M,Harris,Scott,Local Councillor,,,Acclaimed,Yes,Yes,No
Bluewater M,Walden,Peter Gordon,Local Councillor,,,Acclaimed,Yes,Yes,No
Bluewater M,Bailey,Winona,Local Councillor,195,335,Elected,No,No,No
Bluewater M,Hessel,Tyler,Local Councillor,,,Acclaimed,No,No,No
Bluewater M,Lamport,Greg,Local Councillor,219,372,Elected,No,No,No
Bluewater M,Groot,Joseph K.,Local Councillor,,,Acclaimed,No,No,No
Bluewater M,Becker,John,Deputy Mayor,1375,2753,Elected,Yes,No,No
Bonfield Tp,Paquette,Narry,Mayor,576,986,Elected,No,No,No
Bonfield Tp,Corbett,Jason,Local Councillor,623,3258,Elected,Yes,Yes,No
Bonfield Tp,Featherstone,Steve,Local Councillor,693,3258,Elected,No,No,No
Bonfield Tp,MacInnis,Dan,Local Councillor,553,3258,Elected,No,No,No
Bonfield Tp,Clark,Donna,Local Councillor,470,3258,Elected,No,No,No
Bonnechere Valley Tp,Murphy,Jennifer,Mayor,778,2157,Elected,Yes,Yes,No
Bonnechere Valley Tp,Buckwald,Merv,Local Councillor,802,7384,Elected,Yes,Yes,No
Bonnechere Valley Tp,Patrick,Brent,Local Councillor,833,7384,Elected,Yes,Yes,No
Bonnechere Valley Tp,Epps,John,Local Councillor,1287,7384,Elected,No,No,No
Bonnechere Valley Tp,Sanderson,Tracey,Local Councillor,746,7384,Elected,No,No,Yes
Bracebridge T,Maloney,Rick,Mayor,3140,6028,Elected,Yes,Yes,No
Bracebridge T,Vernon,Debbie,Local Councillor,408,1239,Elected,No,No,No
Bracebridge T,Hammond,Barry,Local Councillor,925,2011,Elected,No,No,No
Bracebridge T,Struthers,Andrew,Local Councillor,901,1811,Elected,Yes,Yes,No
Bracebridge T,Buie,Archie,Local Councillor,,,Acclaimed,Yes,Yes,No
Bracebridge T,McMurray,Barb,Local Councillor,253,450,Elected,Yes,Yes,No
Bracebridge T,Smith,Don,Local and District Councillor,3452,6028,Elected,Yes,Yes,No
Bracebridge T,Rhodes,Brenda,Local and District Councillor,3279,6028,Elected,No,No,No
Bracebridge T,Sutherland,Tatiana,Local and District Councillor,3161,6028,Elected,No,No,No
Bradford West Gwillimbury T,Leduc,James,Mayor,4892,9370,Elected,Yes,No,No
Bradford West Gwillimbury T,Duhaney,Cheraldean,Local Councillor,640,1876,Elected,No,No,No
Bradford West Gwillimbury T,Scott,Jonathan,Local Councillor,1008,1281,Elected,Yes,Yes,No
Bradford West Gwillimbury T,Verkaik,Ben,Local Councillor,224,478,Elected,No,No,No
Bradford West Gwillimbury T,Giordano,Joseph,Local Councillor,576,1419,Elected,No,No,No
Bradford West Gwillimbury T,Ferragine,Peter,Local Councillor,503,895,Elected,Yes,Yes,No
Bradford West Gwillimbury T,Harper,Nickolas,Local Councillor,676,1759,Elected,No,No,No
Bradford West Gwillimbury T,Dykie Jr.,Peter,Local Councillor,794,1662,Elected,Yes,Yes,No
Bradford West Gwillimbury T,Sandhu,Raj,Deputy Mayor,5705,9370,Elected,Yes,No,No
Brampton C,Brown,Patrick,Mayor,50652,84919,Elected,Yes,Yes,
Brampton C,Singh,Harkirat,Local Councillor,9076,20037,Elected,Yes,Yes,
Brampton C,Power,Rod,Local Councillor,4069,15597,Elected,No,No,
Brampton C,Santos,Rowena,Local and Regional Councillor,5143,14231,Elected,Yes,Yes,
Brampton C,Brar,Navjit Kaur,Local and Regional Councillor,4983,17235,Elected,No,No,
Brampton C,Keenan,Dennis,Local and Regional Councillor,4912,14390,Elected,No,No,
Brampton C,Vicente,Paul,Local and Regional Councillor,7832,14062,Elected,Yes,Yes,
Brampton C,Palleschi,Michael Paul,Local and Regional Councillor,9675,17097,Elected,Yes,Yes,
Brampton C,Medeiros,Martin,Local and Regional Councillor,7693,14380,Elected,Yes,Yes,
Brampton C,Fortini,Pat,Local and Regional Councillor,6919,15549,Elected,Yes,Yes,
Brampton C,Toor,Gurpartap Singh,Local and Regional Councillor,6086,20708,Elected,No,No,
Brant County,Bailey,David,Mayor,5964,8237,Elected,Yes,Yes,No
Brant County,Bell,John,Local Councillor,920,2780,Elected,Yes,Yes,No
Brant County,Chambers,Robert,Local Councillor,,,Acclaimed,Yes,Yes,No
Brant County,Coleman,Brian,Local Councillor,829,3369,Elected,Yes,Yes,No
Brant County,Howes,Steve,Local Councillor,1341,3144,Elected,Yes,Yes,No
Brant County,MacAlpine,John Bradley,Local Councillor,1167,3431,Elected,Yes,Yes,No
Brant County,Miller,David,Local Councillor,,,Acclaimed,Yes,Yes,No
Brant County,Peirce,John,Local Councillor,1022,2780,Elected,Yes,Yes,No
Brant County,Oakley,Lukas,Local Councillor,751,3144,Elected,No,No,No
Brant County,Kyle,Jennifer,Local Councillor,1010,3431,Elected,No,No,No
Brant County,Garneau,Christine,Local Councillor,1018,3369,Elected,No,No,No
Brantford C,Davis,Kevin,Mayor,9220,20066,Elected,Yes,Yes,No
Brantford C,Sicoli,Rose,Local Councillor,1641,5069,Elected,Yes,Yes,No
Brantford C,Carpenter,Richard,Local Councillor,3074,7699,Elected,Yes,Yes,No
Brantford C,Martin,Greg,Local Councillor,2144,9306,Elected,Yes,Yes,No
Brantford C,McCreary,Dan,Local Councillor,2658,9306,Elected,Yes,Yes,No
Brantford C,Sless,John,Local Councillor,2571,8709,Elected,Yes,Yes,No
Brantford C,Van Tilborg,Brian,Local Councillor,1518,4670,Elected,Yes,Yes,No
Brantford C,Sullivan,Michael,Local Councillor,2020,5069,Elected,No,No,No
Brantford C,Caputo,Gino,Local Councillor,1803,8709,Elected,No,No,No
Brantford C,Hunt,Linda,Local Councillor,1530,7699,Elected,No,No,No
Brantford C,Samwell,Mandy,Local Councillor,1307,4670,Elected,No,No,No
Brethour Tp,Wight,David,Reeve,,,Acclaimed,Yes,Yes,
Brethour Tp,Bellinger,Donna,Local Councillor,,,Acclaimed,Yes,Yes,
Brethour Tp,Corbin,Brandon,Local Councillor,,,Acclaimed,Yes,Yes,
Brethour Tp,Goddard,Tom,Local Councillor,,,Acclaimed,Yes,Yes,
Brethour Tp,Wight,Jenna,Local Councillor,,,Acclaimed,No,No,
Brighton M,Ostrander,Brian,Mayor,2533,4832,Elected,Yes,Yes,No
Brighton M,Rowley,Emily S.,Local Councillor,3063,4832,Elected,Yes,Yes,No
Brighton M,Butwell,Anne,Local Councillor,3061,4832,Elected,No,No,No
Brighton M,Wright,Bobbi,Local Councillor,2915,4832,Elected,No,No,No
Brighton M,Wheeldon,Jeff,Local Councillor,2910,4832,Elected,No,No,No
Brighton M,Faretis,Byron,Local Councillor,2261,4832,Elected,No,No,No
Brighton M,Anderson,Ron,Deputy Mayor,2421,4832,Elected,Yes,No,No
Brock Tp,Schummer,Walter,Mayor,2185,3976,Elected,Yes,No,No
Brock Tp,Frank,Peter,Local Councillor,666,855,Elected,No,No,No
Brock Tp,Doble,Claire,Local Councillor,,,Acclaimed,Yes,Yes,
Brock Tp,Canavan,Angela,Local Councillor,,,Acclaimed,No,No,
Brock Tp,Pettingill,Cria,Local Councillor,,,Acclaimed,Yes,Yes,
Brock Tp,Campbell,Lynn,Local Councillor,389,765,Elected,Yes,Yes,No
Brock Tp,Jubb,Michael,Local and Regional Councillor,3056,3993,Elected,Yes,No,No
Brockton M,Peabody,Chris,Mayor,,,Acclaimed,Yes,Yes,No
Brockton M,Elphick,Tim,Local Councillor,2395,2811,Elected,Yes,Yes,No
Brockton M,Hutcheon,Kym,Local Councillor,2035,2811,Elected,Yes,Yes,No
Brockton M,McLean,Gregory J.,Local Councillor,2170,2811,Elected,No,No,No
Brockton M,Clark,Mitch,Local Councillor,2306,2811,Elected,No,No,No
Brockton M,Kuhnke,Carl,Local Councillor,1707,2811,Elected,No,No,No
Brockton M,Lang,James,Deputy Mayor,,,Acclaimed,Yes,No,No
Brockville C,Wren,Matt,Mayor,,,Acclaimed,Yes,No,No
Brockville C,Wales,Cameron,Local Councillor,3838,36043,Elected,Yes,Yes,No
Brockville C,Kalivas,Mike,Local Councillor,3527,36043,Elected,Yes,No,No
Brockville C,Deery,Philip,Local Councillor,2989,36043,Elected,Yes,Yes,No
Brockville C,Fullarton,Jane,Local Councillor,2980,36043,Elected,Yes,Yes,No
Brockville C,Earle,Jeffrey,Local Councillor,2737,36043,Elected,Yes,Yes,No
Brockville C,Severson,Louise,Local Councillor,2684,36043,Elected,No,No,No
Brockville C,Lavergne,Nathalie,Local Councillor,2520,36043,Elected,Yes,Yes,No
Brockville C,Hobbs,Katherine,Local Councillor,2518,36043,Elected,No,No,No
Brooke-Alvinston M,Ferguson,David,Mayor,634,1158,Elected,Yes,Yes,No
Brooke-Alvinston M,Nemcek,Frank,Local Councillor,610,4061,Elected,Yes,Yes,No
Brooke-Alvinston M,McCabe,Don,Local Councillor,598,4061,Elected,No,No,No
Brooke-Alvinston M,Redick,Jenny,Local Councillor,587,4061,Elected,No,No,No
Brooke-Alvinston M,Sanders,Craig,Local Councillor,570,4061,Elected,No,No,No
Bruce Mines T,Patteri,Lory,Mayor,131,238,Elected,Yes,Yes,No
Bruce Mines T,Morin,Mariola,Local Councillor,127,831,Elected,Yes,Yes,No
Bruce Mines T,Orto,Jody,Local Councillor,146,831,Elected,Yes,Yes,No
Bruce Mines T,Rock,Shane,Local Councillor,113,831,Elected,No,No,No
Bruce Mines T,Stopes,Jamie,Local Councillor,138,831,Elected,No,No,No
"Brudenell, Lyndoch and Raglan Tp",Jahn,Valerie,Mayor,570,1047,Elected,Yes,No,No
"Brudenell, Lyndoch and Raglan Tp",Kauffeldt,Iris,Local Councillor,310,968,Elected,Yes,Yes,No
