Organization,District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Legislative Assembly of Alberta,Calgary-Cross,MLA,Mickey Amery,Mickey,Amery,,United Conservative Party,Calgary.Cross@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0913.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0913&legl=30&from=mla_home,,,,,,,legislature,"513C Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 638-1371,1 780 638-3506,constituency,"766, 2220 - 68 Street NE, Calgary, AB, Canada",1 403 248-4487,1 403 273-2898,,,,
Legislative Assembly of Alberta,Calgary-Currie,MLA,Nicholas Milliken,Nicholas,Milliken,,United Conservative Party,Calgary.Currie@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0928.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0928&legl=30&from=mla_home,,,,,,,legislature,"513A Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 643-1040,1 780 638-3506,constituency,"Unit 211, 1608 - 17 Avenue SW, Calgary, AB, Canada",1 403 246-4794,,,,,
Legislative Assembly of Alberta,Calgary-East,MLA,Peter Singh,Peter,Singh,,United Conservative Party,Calgary.East@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0946.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0946&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-1399,1 780 638-3506,constituency,"#202, 3505 - 52 Street SE, Calgary, AB, Canada",1 587 496-2052,1 403 235-4772,,,,
Legislative Assembly of Alberta,Calgary-Edgemont,MLA,Prasad Panda,Prasad,Panda,,United Conservative Party,Calgary.Edgemont@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0904.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0904&legl=30&from=mla_home,,,,,,,legislature,"127 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 427-5041,1 780 644-1204,constituency,"Suite 222, 5149 Country Hills Blvd NW, Calgary, AB, Canada",1 403 288-4453,1 587 393-8055,,,,
Legislative Assembly of Alberta,Calgary-Elbow,MLA,Doug Schweitzer,Doug,Schweitzer,,United Conservative Party,Calgary.Elbow@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0943.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0943&legl=30&from=mla_home,,,,,,,legislature,"425 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 644-8554,1 780 644-8572,constituency,"Unit 205, 5005 Elbow Drive SW, Calgary, AB, Canada",1 403 252-0346,1 403 252-0520,,,,
Legislative Assembly of Alberta,Calgary-Falconridge,MLA,Devinder Toor,Devinder,Toor,,United Conservative Party,Calgary.Falconridge@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0949.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0949&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-3016,1 780 638-3506,constituency,"Unit 215, 5401 Temple Drive NE, Calgary, AB, Canada",1 403 280-4022,1 403 280-3877,,,,
Legislative Assembly of Alberta,Calgary-Fish Creek,MLA,Richard Gotfried,Richard,Gotfried,,United Conservative Party,Calgary.FishCreek@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0900.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0900&legl=30&from=mla_home,,,,,,,legislature,"513F Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 643-6541,1 780 638-3506,constituency,"Bay 7, 1215 Lake Sylvan Drive SE, Calgary, AB, Canada",1 403 278-4444,,,,,
Legislative Assembly of Alberta,Calgary-Foothills,MLA,Jason Luan,Jason,Luan,,United Conservative Party,Calgary.Foothills@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0806.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0806&legl=30&from=mla_home,,,,,,,legislature,"420 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 427-0165,1 780 415-0961,constituency,"#29, 735 Ranchlands Blvd NW, Calgary, AB, Canada",1 403 216-5444,,,,,
Legislative Assembly of Alberta,Calgary-Glenmore,MLA,Whitney Issik,Whitney,Issik,,United Conservative Party,Calgary.Glenmore@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0922.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0922&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-2813,1 780 638-3506,constituency,"#311A, 2525 Woodview Drive SW, Calgary, AB, Canada",1 403 216-5421,,,,,
Legislative Assembly of Alberta,Calgary-Hays,MLA,Ric McIver,Ric,McIver,,United Conservative Party,Calgary.Hays@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0808.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0808&legl=30&from=mla_home,,,,,,,legislature,"320 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 427-2080,1 780 422-2002,constituency,"222, 5126 - 126 Avenue SE, Calgary, AB, Canada",1 403 215-4380,1 403 215-4383,,,,
Legislative Assembly of Alberta,Calgary-Klein,MLA,Jeremy Nixon,Jeremy,Nixon,,United Conservative Party,Calgary.Klein@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0932.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0932&legl=30&from=mla_home,,,,,,,legislature,"513B Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 643-1039,1 780 638-3506,constituency,"201, 1055 - 20 Avenue NW, Calgary, AB, Canada",1 403 216-5430,1 403 216-5432,,,,
Legislative Assembly of Alberta,Calgary-Lougheed,MLA,Jason Kenney,Jason,Kenney,,United Conservative Party,Calgary.Lougheed@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0906.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0906&legl=30&from=mla_home,,,,,,,legislature,"307 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 427-2251,1 780 427-1349,constituency,"2105, 230 Eversyde Blvd SW, Calgary, AB, Canada",1 403 238-1212,1 403 251-5453,,,,
Legislative Assembly of Alberta,Calgary-McCall,MLA,Irfan Sabir,Irfan,Sabir,,Alberta New Democratic Party,Calgary.McCall@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0871.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0871&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"Unit 223, 4850 Westwinds Drive NE, Calgary, AB, Canada",1 403 216-5424,1 403 216-5426,,,,
Legislative Assembly of Alberta,Calgary-Mountain View,MLA,Kathleen Ganley,Kathleen,Ganley,,Alberta New Democratic Party,Calgary.MountainView@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0846.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0846&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"#102, 723 - 14 Street NW, Calgary, AB, Canada",1 403 216-5445,1 403 216-5447,,,,
Legislative Assembly of Alberta,Calgary-North,MLA,Muhammad Yaseen,Muhammad,Yaseen,,United Conservative Party,Calgary.North@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0954.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0954&legl=30&from=mla_home,,,,,,,legislature,"513G Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 643-1026,1 780 638-3506,constituency,"104, 200 Country Hills Landing NW, Calgary, AB, Canada",1 403 274-1931,,,,,
Legislative Assembly of Alberta,Calgary-North East,MLA,Rajan Sawhney,Rajan,Sawhney,,United Conservative Party,Calgary.NorthEast@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0940.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0940&legl=30&from=mla_home,,,,,,,legislature,"224 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 643-6210,1 780 643-6214,constituency,"1080, 11124 - 36 Street NE, Calgary, AB, Canada",1 587 318-2946,,,,,
Legislative Assembly of Alberta,Calgary-North West,MLA,Sonya Savage,Sonya,Savage,,United Conservative Party,Calgary.Northwest@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0939.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0939&legl=30&from=mla_home,,,,,,,legislature,"324 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 427-3740,1 780 644-1222,constituency,"Suite 7223, 8650 - 112th Avenue NW, Calgary, AB, Canada",1 403 297-7104,,,,,
Legislative Assembly of Alberta,Calgary-Peigan,MLA,Tanya Fir,Tanya,Fir,,United Conservative Party,Calgary.Peigan@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0916.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0916&legl=30&from=mla_home,,,,,,,legislature,"503C Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 587 405-1517,1 780 638-3506,constituency,"255, 11488 - 24 Street SE, Calgary, AB, Canada",1 587 392-8850,,,,,
Legislative Assembly of Alberta,Calgary-Shaw,MLA,Rebecca Schulz,Rebecca,Schulz,,United Conservative Party,Calgary.Shaw@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0942.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0942&legl=30&from=mla_home,,,,,,,legislature,"204 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 644-5255,1 780 644-6817,constituency,"Suite 230, 251 Midpark Blvd SE, Calgary, AB, Canada",1 403 256-8969,1 403 256-8970,,,,
Legislative Assembly of Alberta,Calgary-South East,MLA,Matt Jones,Matt,Jones,,United Conservative Party,Calgary.SouthEast@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0923.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0923&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-3020,1 780 638-3506,constituency,"Unit 202, 5126 - 126 Avenue SE, Calgary, AB, Canada",1 403 215-8930,,,,,
Legislative Assembly of Alberta,Calgary-Varsity,MLA,Jason Copping,Jason,Copping,,United Conservative Party,Calgary.Varsity@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0915.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0915&legl=30&from=mla_home,,,,,,,legislature,"107 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 638-9400,1 780 638-9401,constituency,"201, 1055 - 20 Avenue NW, Calgary, AB, Canada",1 403 216-5436,,,,,
Legislative Assembly of Alberta,Calgary-West,MLA,Mike Ellis,Mike,Ellis,,United Conservative Party,Calgary.West@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0832.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0832&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 644-2395,1 780 638-3506,constituency,"Unit 234, 333 Aspen Glen Landing SW, Calgary, AB, Canada",1 403 216-5439,1 403 216-5441,,,,
Legislative Assembly of Alberta,Camrose,MLA,Jackie Lovely,Jackie,Lovely,,United Conservative Party,Camrose@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0926.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0926&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-1258,1 780 638-3506,constituency,"4870 - 51 Street, Camrose, AB, Canada",1 780 672-0000,1 780 672-6945,,,,
Legislative Assembly of Alberta,Cardston-Siksika,MLA,Joseph Schow,Joseph,Schow,,United Conservative Party,Cardston.Siksika@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0941.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0941&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-1158,1 780 638-3506,constituency,"P.O. Box 819, Cardston, AB, Canada",,,,,,
Legislative Assembly of Alberta,Central Peace-Notley,MLA,Todd Loewen,Todd,Loewen,,Independent,CentralPeace.Notley@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0890.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0890&legl=30&from=mla_home,,,,,,,legislature,"Room 4107, 9820 - 107 Street NW, Edmonton, AB, Canada",1 780 427-5967,,constituency,"Box 9, 10410 - 110 Street, Fairview, AB, Canada",1 780 835-7211,1 780 835-7212,,,,
Legislative Assembly of Alberta,Chestermere-Strathmore,MLA,Leela Sharon Aheer,Leela Sharon,Aheer,,United Conservative Party,Chestermere.Strathmore@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0883.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0883&legl=30&from=mla_home,,,,,,,legislature,"227 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 422-3559,1 780 427-0188,constituency,"129 - 2nd Avenue, Strathmore, AB, Canada",1 403 962-0126,,,,,
Legislative Assembly of Alberta,Cypress-Medicine Hat,MLA,Drew Barnes,Drew,Barnes,,Independent,Cypress.MedicineHat@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0816.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0816&legl=30&from=mla_home,,,,,,,legislature,"Room 4108, 9820 - 107 Street, Edmonton, AB, Canada",1 780 427-6662,,constituency,"Trans Canada Place #5, 1299 Trans Canada Way, Medicine Hat, AB, Canada",1 403 528-2191,,,,,
Legislative Assembly of Alberta,Drayton Valley-Devon,MLA,Mark Smith,Mark,Smith,,United Conservative Party,DraytonValley.Devon@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0896.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0896&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 644-7146,1 780 638-3506,constituency,"5136B - 52 Avenue, Box 7272, Drayton Valley, AB, Canada",1 780 542-3355,1 780 542-3331,,,,
Legislative Assembly of Alberta,Drumheller-Stettler,MLA,Nate Horner,Nate,Horner,,United Conservative Party,Drumheller.Stettler@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0921.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0921&legl=30&from=mla_home,,,,,,,legislature,"513H Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 643-2993,1 780 638-3506,constituency,"Box 1929, Bay 400, 300 South Railway Avenue East, Drumheller, AB, Canada",1 587 774-0306,,,,,
Legislative Assembly of Alberta,Edmonton-Beverly-Clareview,MLA,Deron Bilous,Deron,Bilous,,Alberta New Democratic Party,Edmonton.BeverlyClareview@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0829.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0829&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"552 Hermitage Mall, 40 Street & Hermitage Road, Edmonton, AB, Canada",1 780 476-6467,1 780 476-6473,,,,
Legislative Assembly of Alberta,Edmonton-Castle Downs,MLA,Nicole Goehring,Nicole,Goehring,,Alberta New Democratic Party,Edmonton.Castledowns@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0847.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0847&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"12120 - 161 Avenue, Edmonton, AB, Canada",1 780 414-0705,1 780 414-0707,,,,
Legislative Assembly of Alberta,Edmonton-City Centre,MLA,David Shepherd,David,Shepherd,,Alberta New Democratic Party,Edmonton.CityCentre@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0874.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0874&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",,,constituency,"10208 - 112 Street, Edmonton, AB, Canada",1 780 414-0743,,,,,
Legislative Assembly of Alberta,Edmonton-Decore,MLA,Chris Nielsen,Chris,Nielsen,,Alberta New Democratic Party,Edmonton.Decore@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0865.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0865&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"#203, 8119 - 160 Avenue, Edmonton, AB, Canada",1 780 414-1328,1 780 414-1330,,,,
Legislative Assembly of Alberta,Edmonton-Ellerslie,MLA,Rod Loyola,Rod,Loyola,,Alberta New Democratic Party,Edmonton.Ellerslie@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0856.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0856&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"5732 - 19A Avenue, Edmonton, AB, Canada",1 780 414-2000,1 780 414-6383,,,,
Legislative Assembly of Alberta,Edmonton-Glenora,MLA,Sarah Hoffman,Sarah,Hoffman,,Alberta New Democratic Party,Edmonton.Glenora@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0850.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0850&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"#201, 12408 - 108 Avenue, Edmonton, AB, Canada",1 780 455-7979,1 780 455-2197,,,,
Legislative Assembly of Alberta,Edmonton-Gold Bar,MLA,Marlin Schmidt,Marlin,Schmidt,,Alberta New Democratic Party,Edmonton.Goldbar@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0872.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0872&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"#100, 8925 - 82 Avenue, Edmonton, AB, Canada",1 780 414-1015,1 780 414-1017,,,,
Legislative Assembly of Alberta,Edmonton-Highlands-Norwood,MLA,Janis Irwin,Janis,Irwin,,Alberta New Democratic Party,Edmonton.HighlandsNorwood@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0910.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0910&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"6519 - 112 Avenue, Edmonton, AB, Canada",1 780 414-0682,,,,,
Legislative Assembly of Alberta,Edmonton-Manning,MLA,Heather Sweet,Heather,Sweet,,Alberta New Democratic Party,Edmonton.Manning@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0877.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0877&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"14904 - 50 Street, Edmonton, AB, Canada",1 780 414-0714,,,,,
