Honorific,First name,Last name,Gender,Office type,Address,City,Province,Postal code,Office email,Email,Telephone,Fax,Toll-free,TTY,Riding name,Party,Parliamentary role,Member ID
,Natalia,Kusendova-Bashta,Female ,Ministry office,"Ministry of Francophone Affairs
23rd Floor (temp)
777 Bay St.
",Toronto,ON,M7A 1Z8,,Natalia.Kusendova@pc.ola.org,,,,,Mississauga Centre,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Francophone Affairs,7489
,Natalia,Kusendova-Bashta,Female ,Constituency office,"Unit 701
50 Burnhamthorpe Road W.
",Mississauga,ON,L5B 3C3,,Natalia.Kusendova@pc.ola.org,905-890-1901,,,,Mississauga Centre,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Francophone Affairs,7489
,Ric,Bresee,Male ,Ministry office,"Ministry of&nbsp;Natural Resources and Forestry
Whitney Block
Room 6610
99 Wellesley St.
",Toronto,ON,M7A 1W3,,Ric.Bresee@pc.ola.org,,,,,Hastings—Lennox and Addington,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Natural Resources and Forestry,7601
,Ric,Bresee,Male ,Constituency office,"26A St. Lawrence St. W
P.O. Box 70
",Madoc,ON,K0K 2K0,,Ric.Bresee@pc.ola.org,613-473-1112,613-473-1397,855-229-6676  ,,Hastings—Lennox and Addington,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Natural Resources and Forestry,7601
,Ric,Bresee,Male ,Constituency office,"113 East St.
",Napanee,ON,K8R 1S5,,Ric.Bresee@pc.ola.org,613-354-3031,613-308-9685  ,,,Hastings—Lennox and Addington,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Natural Resources and Forestry,7601
,Andrea,Khanjin,Female ,Legislative office,"Room 216
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,Andrea.Khanjin@pc.ola.org,,,,,Barrie—Innisfil,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Intergovernmental Affairs,7448
,Andrea,Khanjin,Female ,Constituency office,"Unit 1
237 Mapleview Dr. E
",Barrie,ON,L4N 0W5,Andrea.Khanjinco@pc.ola.org,Andrea.Khanjin@pc.ola.org,705-722-0575  ,705-722-8835,,,Barrie—Innisfil,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Intergovernmental Affairs,7448
,Terence,Kernaghan,Male ,Constituency office,"Unit 105
400 York St.
",London,ON,N6B 3N2,TKernaghan-CO@ndp.on.ca,,519-432-7339,519-432-0613  ,,,London North Centre,New Democratic Party of Ontario,,7483
,Terence,Kernaghan,Male ,Legislative office,"Room 362
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,TKernaghan-QP@ndp.on.ca,,416-326-7568  ,416-326-7580  ,,,London North Centre,New Democratic Party of Ontario,,7483
,Trevor,Jones,Male ,Ministry office,"Ministry of Agriculture, Food and Rural Affairs
11th Floor
77 Grenville St.
",Toronto,ON,M5S 1B3,,Trevor.Jones@pc.ola.org,,,,,Chatham-Kent—Leamington,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Agriculture, Food and Rural Affairs",7592
,Trevor,Jones,Male ,Constituency office,"Suite 100
111 Heritage Rd.
",Chatham,ON,N7M 5W7,,Trevor.Jones@pc.ola.org,519-351-0510   ,519-351-7714 ,1-800-265-3992   ,,Chatham-Kent—Leamington,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Agriculture, Food and Rural Affairs",7592
,Trevor,Jones,Male ,Constituency office,"Unit B
115 Erie St. N
",Leamington,ON,,,Trevor.Jones@pc.ola.org,519-326-3367 ,519-326-0404   ,,,Chatham-Kent—Leamington,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Agriculture, Food and Rural Affairs",7592
,Anthony,Leardi,Male ,Ministry office,"Ministry of&nbsp;Mines
Room 5501
5th Floor
99 Wellesley St. W
",Toronto,ON,M7A 1W3,,Anthony.Leardi@pc.ola.org,,,,,Essex,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Mines,7597
,Anthony,Leardi,Male ,Constituency office,"310 Thomas Rd.
",Amherstburg,ON,N9V 2Y9,,Anthony.Leardi@pc.ola.org,519-736-1550,,,,Essex,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Mines,7597
,Rob,Flack,Male ,Ministry office,"Ministry of Agriculture, Food and Rural Affairs
11th Floor
77 Grenville St.
",Toronto,ON,M5S 1B3,,Rob.Flack@pc.ola.org,,,,,Elgin—Middlesex—London,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Agriculture, Food and Rural Affairs",7596
,Rob,Flack,Male ,Constituency office,"Suite 201
750 Talbot St.
",St. Thomas,ON,N5P 1E2,,Rob.Flack@pc.ola.org,519-631-5995,519-631-9478,1-800-265-7638,,Elgin—Middlesex—London,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Agriculture, Food and Rural Affairs",7596
,Graham,McGregor,Male ,Ministry office,"Ministry of Citizenship and Multiculturalism
15th Floor
56 Wellesley St.
",Toronto,ON,M7A 1C1,,Graham.McGregor@pc.ola.org,,,,,Brampton North,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Citizenship and Multiculturalism,7588
,Graham,McGregor,Male ,Constituency office,"Unit 7
10215 Kennedy Rd. N
",Brampton,ON,L6Z 0C5,,Graham.McGregor@pc.ola.org,289-298-1049,905-495-1041,,,Brampton North,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Citizenship and Multiculturalism,7588
,John,Yakabuski,Male ,Ministry office,"Ministry of Environment, Conservation and Parks
5th Floor
777 Bay St.
",Toronto,ON,M5B 2H7,,John.Yakabuski@pc.ola.org,,,,,Renfrew—Nipissing—Pembroke,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of the Environment, Conservation and Parks",2139
,John,Yakabuski,Male ,Constituency office,"The Victoria Center
Unit 6
84 Isabella St.
",Pembroke,ON,K8A 5S5,John.Yakabuskico@pc.ola.org,John.Yakabuski@pc.ola.org,613-735-6627,613-735-6692,,,Renfrew—Nipissing—Pembroke,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of the Environment, Conservation and Parks",2139
Hon.,Caroline,Mulroney,Female ,Ministry office,"Ministry of Francophone Affairs
Suite 2501
700 Bay St.
",Toronto,ON,M7A 0A2,,Caroline.Mulroney@pc.ola.org,416-327-9200,,,,York—Simcoe,Progressive Conservative Party of Ontario,Minister of Francophone Affairs; Minister of Transportation,7523
Hon.,Caroline,Mulroney,Female ,Ministry office,"Ministry of Transportation
5th Floor
777 Bay St.
",Toronto,ON,M7A 1Z8,,Caroline.Mulroney@pc.ola.org,1-800-268-4686,,,,York—Simcoe,Progressive Conservative Party of Ontario,Minister of Francophone Affairs; Minister of Transportation,7523
Hon.,Caroline,Mulroney,Female ,Constituency office,"Unit 8
45 Grist Mill Rd.
",Holland Landing,ON,L9N 1M7,Caroline.Mulroneyco@pc.ola.org,Caroline.Mulroney@pc.ola.org,905-895-1555   ,905-895-0337 ,,,York—Simcoe,Progressive Conservative Party of Ontario,Minister of Francophone Affairs; Minister of Transportation,7523
,Stephanie,Bowman,Female ,Constituency office,"Suite 101
795 Eglinton Ave. E
",Toronto,ON,M4G 4E4,sbowman.mpp.co@liberal.ola.org,,416-425-6777,416-425-0350,,,Don Valley West,Ontario Liberal Party,,7594
,Stephanie,Bowman,Female ,Legislative office,"Room 170
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,,416-325-0008,,,,Don Valley West,Ontario Liberal Party,,7594
,Kristyn,Wong-Tam,Female ,Constituency office,"Unit 401
120 Carlton St.
",Toronto,ON,M5A 4K2,KWong-Tam-CO@ndp.on.ca,KWong-Tam-QP@ndp.on.ca,416-972-7683,416-972-7686,,,Toronto Centre,New Democratic Party of Ontario,,7616
,Kristyn,Wong-Tam,Female ,Legislative office,"Room 471
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,KWong-Tam-QP@ndp.on.ca,416-325-0031,,,,Toronto Centre,New Democratic Party of Ontario,,7616
,Brian,Saunderson,Male ,Ministry office,"Ministry of the Attorney General
McMurtry-Scott Building
11th Floor
720 Bay St.
",Toronto,ON,M7A 2S9,,Brian.Saunderson@pc.ola.org,,,,,Simcoe—Grey,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Attorney General,7610
,Brian,Saunderson,Male ,Constituency office,"Suite 28
180 Parsons Rd.
",Alliston,ON,L9R 1E8,,Brian.Saunderson@pc.ola.org,705-435-4087,705-435-1051,,,Simcoe—Grey,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Attorney General,7610
,Brian,Saunderson,Male ,Constituency office,"7317 Hwy. 26
",Stayner,ON,L0M 1S0,,Brian.Saunderson@pc.ola.org,(705) 446-1090,705-446-3397,1-800-268-7542,,Simcoe—Grey,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Attorney General,7610
,Kevin,Holland,Male ,Ministry office,"Ministry of&nbsp;Municipal Affairs and Housing
23rd Floor
777 Bay St.
",Toronto,ON,M7A 2J3,,Kevin.Holland@pc.ola.org,,,,,Thunder Bay—Atikokan,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Municipal Affairs and Housing,7613
,Kevin,Holland,Male ,Constituency office,"Unit 3
101 Main St. W
",Atikokan,ON,P0T 1C0,,Kevin.Holland@pc.ola.org,807-623-6702,807-623-8921,833-743-1684,,Thunder Bay—Atikokan,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Municipal Affairs and Housing,7613
,Kevin,Holland,Male ,Constituency office,"774 James St. N (Main office)
",Thunder Bay,ON,P7C 5N3,,Kevin.Holland@pc.ola.org,807-623-6702,807-623-8921,833-743-1684,,Thunder Bay—Atikokan,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Municipal Affairs and Housing,7613
,David,Smith,Male ,Ministry office,"Ministry of Labour, Immigration, Training and Skills Development
1st Floor
400 University Ave.
",Toronto,ON,M7A 1T7,,david.smith1@pc.ola.org,,,,,Scarborough Centre,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Labour, Immigration, Training and Skills Development",7609
,David,Smith,Male ,Constituency office,"2063 Lawrence Ave. E
",Scarborough,ON,M1R 2Z4,,david.smith1@pc.ola.org,416-615-2183,416-615-2011,,,Scarborough Centre,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Labour, Immigration, Training and Skills Development",7609
,Jamie,West,Male ,Constituency office,"Unit 4B
555 Barrydowne Rd.
",Sudbury,ON,P3A 3T4,JWest-CO@ndp.on.ca,JWest-QP@ndp.on.ca,705-675-1914,705-675-1456,,,Sudbury,New Democratic Party of Ontario,,7446
,Jamie,West,Male ,Legislative office,"Room 347
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,,JWest-QP@ndp.on.ca,416-326-7144,416-326-7280,,,Sudbury,New Democratic Party of Ontario,,7446
Hon.,Neil,Lumsden,Male ,Ministry office,"Ministry of Tourism, Culture and Sport
6th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,Neil.Lumsden@pc.ola.org,416-326-9326,,,,Hamilton East—Stoney Creek,Progressive Conservative Party of Ontario,"Minister of Tourism, Culture and Sport",7600
Hon.,Neil,Lumsden,Male ,Constituency office,"Unit 102

115 Hwy. 8

&nbsp;
",Hamilton,ON,L8G 1C1,,Neil.Lumsden@pc.ola.org,905-662-8755,905-662-0416 ,,,Hamilton East—Stoney Creek,Progressive Conservative Party of Ontario,"Minister of Tourism, Culture and Sport",7600
Hon.,Graydon,Smith,Male ,Ministry office,"Ministry of&nbsp;Natural Resources and Forestry
Room 6630
5th Floor
99 Wellesley St.
",Toronto,ON,M7A 1W3,,Graydon.Smith@pc.ola.org,416-314-2301,,,,Parry Sound—Muskoka,Progressive Conservative Party of Ontario,Minister of Natural Resources and Forestry,7607
Hon.,Graydon,Smith,Male ,Constituency office,"26 James St.
",Parry Sound,ON,P2A 1T5,,Graydon.Smith@pc.ola.org,705-746-4266  ,705-746-1578   ,1-888-701-1176 ,,Parry Sound—Muskoka,Progressive Conservative Party of Ontario,Minister of Natural Resources and Forestry,7607
Hon.,Graydon,Smith,Male ,Constituency office,"230 Manitoba St.
",Bracebridge,ON,P1L 2E1,,Graydon.Smith@pc.ola.org,705-645-8538,705-645-8148 ,1-888-267-4826   ,,Parry Sound—Muskoka,Progressive Conservative Party of Ontario,Minister of Natural Resources and Forestry,7607
,Rick,Byers,Male ,Ministry office,"Frost North
6th Floor
95 Grosvenor St.
",Toronto,ON,M7A 1Z1,,Rick.Byers@pc.ola.org,,,,,Bruce—Grey—Owen Sound,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Finance,7589
,Rick,Byers,Male ,Constituency office,"Suite 100
920 1st Ave. W
",Owen Sound,ON,N4K 4K5,,Rick.Byers@pc.ola.org,519-371-2421,519-371-0953,1-800-461-2664,,Bruce—Grey—Owen Sound,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Finance,7589
,Daisy,Wai,Female ,Ministry office,"Ministry for Seniors and Accessibility
5th Floor
777 Bay St.
",Toronto,ON,M5G 2C8,,Daisy.Wai@pc.ola.org,,,,,Richmond Hill,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister for Seniors and Accessibility,7506
,Daisy,Wai,Female ,Constituency office,"Suite 409
9555 Yonge St.
",Richmond Hill,ON,L4C 9M5,Daisy.Waico@pc.ola.org,Daisy.Wai@pc.ola.org,905-884-8080,905-884-1040,,,Richmond Hill,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister for Seniors and Accessibility,7506
Hon.,Monte,McNaughton,Male ,Ministry office,"Ministry of Labour, Immigration, Training and Skills Development
14th Floor
400 University Ave
",Toronto,ON,M7A 1T7,,,416-326-7600,,,,Lambton—Kent—Middlesex,Progressive Conservative Party of Ontario,"Minister of Labour, Immigration, Training and Skills Development",7182
Hon.,Monte,McNaughton,Male ,Constituency office,"360 James St.
",Wallaceburg,ON,N8A 2N5,Monte.McNaughtonco@pc.ola.org,, 519-627-1015   , 519-627-7174 ,,,Lambton—Kent—Middlesex,Progressive Conservative Party of Ontario,"Minister of Labour, Immigration, Training and Skills Development",7182
Hon.,Monte,McNaughton,Male ,Constituency office,"81 Front St. W
",Strathroy,ON,N7G 1X6,Monte.McNaughtonco@pc.ola.org,,519-245-8696,519-245-8697 ,,,Lambton—Kent—Middlesex,Progressive Conservative Party of Ontario,"Minister of Labour, Immigration, Training and Skills Development",7182
,Natalie,Pierre,Female ,Ministry office,"Ministry of Colleges and Universities
5th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,Natalie.Pierre@pc.ola.org,,,,,Burlington,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Colleges and Universities,7590
,Natalie,Pierre,Female ,Constituency office,"Suite 306
3027 Harvester Rd.

&nbsp;
",Burlington,ON,L7N 3G7,,Natalie.Pierre@pc.ola.org,905-639-7924,905-639-3284 ,,,Burlington,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Colleges and Universities,7590
,Nolan,Quinn,Male ,Ministry office,"Ministry of Children, Community and Social Services
7th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,Nolan.Quinn@pc.ola.org,,,,,Stormont—Dundas—South Glengarry,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Children, Community and Social Services",7611
,Nolan,Quinn,Male ,Constituency office,"Time Square
120 Second St. W
",Cornwall,ON,K6J 1G5,,Nolan.Quinn@pc.ola.org,613-933-6513,613-933-6449   ,,,Stormont—Dundas—South Glengarry,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Children, Community and Social Services",7611
,Laura,Smith,Female ,Ministry office,"Ministry of Tourism, Culture and Sport
1st Floor
400 University Ave.
",Toronto,ON,M7A 1T7,,Laura.Smith@pc.ola.org,,,,,Thornhill,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Tourism, Culture and Sport",7612
,Laura,Smith,Female ,Constituency office,"Centre Street Square
Unit 4
1136 Centre St.
",Thornhill,ON,L4J 3M8,,Laura.Smith@pc.ola.org,905-731-1178,,,,Thornhill,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Tourism, Culture and Sport",7612
,Robin,Martin,Female ,Ministry office,"Ministry of Health
5th Floor
777 Bay St.
",Toronto,ON,M7A 1Z8,,Robin.Martin@pc.ola.org,,,,,Eglinton—Lawrence,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Health,7465
,Robin,Martin,Female ,Constituency office,"2882 Dufferin St.
",Toronto,ON,M6B 3S6,Robin.Martinco@pc.ola.org,Robin.Martin@pc.ola.org, 416-781-2395  ,416-781-4116  ,,,Eglinton—Lawrence,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Health,7465
,Michael,Mantha,Male ,Constituency office,"14 George Walk
",Elliot Lake,ON,P5A 2A4,MMantha-CO@ndp.on.ca,MMantha-QP@ndp.on.ca,705-461-9710 ,705-461-9720,1-800-831-1899   ,,Algoma—Manitoulin,New Democratic Party of Ontario,,7164
,Michael,Mantha,Male ,Legislative office,"Room 320
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,MMantha-QP@ndp.on.ca,416-325-1938   ,416-325-1976,,,Algoma—Manitoulin,New Democratic Party of Ontario,,7164
,Vincent,Ke,Male ,Ministry office,"Ministry of Public and Business Service Delivery
5th Floor
777 Bay St.
",Toronto,ON,M5G 2C8,,Vincent.Ke@pc.ola.org,,,,,Don Valley North,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Public and Business Service Delivery,7461
,Vincent,Ke,Male ,Constituency office,"Suite 103
2175 Sheppard Ave. E
",North York,ON,M2J 1W8,Vincent.Keco@pc.ola.org,Vincent.Ke@pc.ola.org,416-494-8778  ,416-494-0110  ,,,Don Valley North,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Public and Business Service Delivery,7461
,John,Vanthof,Male ,Constituency office,"63B Government Rd. W
",Kirkland Lake,ON,P2N 2E6,JVanthof-CO@ndp.on.ca,JVanthof-QP@ndp.on.ca,705-567-4650,705-567-4208,,,Timiskaming—Cochrane,New Democratic Party of Ontario,,7192
,John,Vanthof,Male ,Constituency office,"Pinewoods Centre
Unit 5
247 Whitewood Ave.
P.O. Box 398
",New Liskeard,ON,P0J 1P0,JVanthof-CO@ndp.on.ca,JVanthof-QP@ndp.on.ca,705-647-5995,705-647-1976,,,Timiskaming—Cochrane,New Democratic Party of Ontario,,7192
,John,Vanthof,Male ,Constituency office,"2nd Floor
193 King St.
",Sturgeon Falls,ON,P2B 1R8,JVanthof-CO@ndp.on.ca,JVanthof-QP@ndp.on.ca,705-753-0200,705-753-0800,,,Timiskaming—Cochrane,New Democratic Party of Ontario,,7192
,John,Vanthof,Male ,Legislative office,"Room 348
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,,JVanthof-QP@ndp.on.ca,416-325-2000,416-325-1999,,,Timiskaming—Cochrane,New Democratic Party of Ontario,,7192
,Bhutila,Karpoche,Female ,Constituency office,"2849 Dundas St. W
",Toronto,ON,M6P 1Y6,BKarpoche-CO@ndp.on.ca,BKarpoche-QP@ndp.on.ca,416-763-5630 ,416-763-5640  ,,,Parkdale—High Park,New Democratic Party of Ontario,,7502
,Bhutila,Karpoche,Female ,Legislative office,"Room 204
North Wing, Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,BKarpoche-QP@ndp.on.ca,416-325-3017  ,416-325-2937 ,,,Parkdale—High Park,New Democratic Party of Ontario,,7502
,Brian,Riddell,Male ,Ministry office,"Ministry of Public and Business Service Delivery
5th Floor
777 Bay St.
",Toronto,ON,M5G 2C8,,Brian.Riddell@pc.ola.org,,,,,Cambridge,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Public and Business Service Delivery,7591
,Brian,Riddell,Male ,Constituency office,"Cambridge Place

Suite 409

73 Water St. N
",Cambridge,ON,N1R 7L6,,Brian.Riddell@pc.ola.org,519-650-2770 ,,,,Cambridge,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Public and Business Service Delivery,7591
,Logan,Kanapathi,Male ,Ministry office,"Ministry of Children, Community and Social Services
7th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,,,,,,Markham—Thornhill,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Children, Community and Social Services",7485
,Logan,Kanapathi,Male ,Constituency office,"Unit 3
7380 McCowan Rd.
",Markham,ON,L3S 3H8,Logan.Kanapathico@pc.ola.org,,905-305-1935  ,905-305-1938  ,,,Markham—Thornhill,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Children, Community and Social Services",7485
Hon.,Sylvia,Jones,Female ,Ministry office,"Ministry of Health
5th Floor
777 Bay St.
",Toronto,ON,M7A 1Z8,,Sylvia.Jones@pc.ola.org,416-327-4300,,,,Dufferin—Caledon,Progressive Conservative Party of Ontario,Deputy Premier; Minister of Health,7093
Hon.,Sylvia,Jones,Female ,Constituency office,"Suite A
3rd Floor
180 Broadway Ave.
",Orangeville,ON,L9W 1K3,,Sylvia.Jones@pc.ola.org,519-941-7751  ,519-941-3246  ,,,Dufferin—Caledon,Progressive Conservative Party of Ontario,Deputy Premier; Minister of Health,7093
,Mitzie,Hunter,Female ,Constituency office,"Unit B1
3785 Kingston Rd.
",Scarborough,ON,M1J 3M4,mhunter.mpp.co@liberal.ola.org,,416-281-2787  ,416-281-2360 ,,,Scarborough—Guildwood,Ontario Liberal Party,,7227
,Mitzie,Hunter,Female ,Legislative office,"Room 153
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,,416-325-4800 ,416-325-4785,,,Scarborough—Guildwood,Ontario Liberal Party,,7227
,Vacant,seat,,Constituency office,"Suite 200
20 Hughson St. S
",Hamilton,ON,L8N 2A1,HamiltonCentre-CO@ndp.on.ca,,905-544-9644  ,905-544-5152  ,,,Hamilton Centre,,,vac_7035
,Christine,Hogarth,Female ,Ministry office,"Ministry of the Solicitor General
George Drew Building
18th Floor
25 Grosvenor St.
",Toronto,ON,M7A 1Y6,,Christine.Hogarth@pc.ola.org,,,,,Etobicoke—Lakeshore,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Solicitor General,7469
,Christine,Hogarth,Female ,Constituency office,"Unit 21
195 Norseman St.
",Etobicoke,ON,M8Z 0E9,Christine.Hogarthco@pc.ola.org,Christine.Hogarth@pc.ola.org,416-259-2249  ,,,,Etobicoke—Lakeshore,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Solicitor General,7469
,John,Jordan,Male ,Ministry office,"Ministry of&nbsp;Long-Term Care
6th Floor
400 University Ave.
",Toronto,ON,M7A 1T7,,John.Jordan@pc.ola.org,,,,,Lanark—Frontenac—Kingston,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Long-Term Care,7604
,John,Jordan,Male ,Constituency office,"Unit 207
91 Cornelia Street W.
",Smiths Falls,ON,K7A 5L3,,John.Jordan@pc.ola.org,613-284-1630,613-267-7398  ,,,Lanark—Frontenac—Kingston,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Long-Term Care,7604
,Andrew,Dowie,Male ,Ministry office,"Ministry of Economic Development, Job Creation, and Trade
Whitney Block
Room 1304
99 Wellesley St. W
",Toronto,ON,M4Y 2X9,,Andrew.Dowie@pc.ola.org,,,,,Windsor—Tecumseh,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Economic Development, Job Creation and Trade",7617
,Andrew,Dowie,Male ,Constituency office,"Unit 1
5452 Tecumseh Rd. E
",Windsor,ON,N8T 1C7,,Andrew.Dowie@pc.ola.org,519-251-5199 ,519-251-5299 ,,,Windsor—Tecumseh,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Economic Development, Job Creation and Trade",7617
Hon.,Michael,Ford,Male ,Ministry office,"Ministry of Citizenship and Multiculturalism
14th Floor
56 Wellesley St.
",Toronto,ON,M7A 2E7,,Michael.Ford@pc.ola.org,416-212-0036,,,,York South—Weston,Progressive Conservative Party of Ontario,Minister of Citizenship and Multiculturalism,7619
Hon.,Michael,Ford,Male ,Constituency office,"1832 Weston Rd.
",Toronto,ON,M9N 1V8,,Michael.Ford@pc.ola.org,416-243-7984,416-243-0327,,,York South—Weston,Progressive Conservative Party of Ontario,Minister of Citizenship and Multiculturalism,7619
,Effie J.,Triantafilopoulos,Female ,Ministry office,"Ministry of Economic Development, Job Creation, and Trade
Whitney Block
Room 1305
99 Wellesley St. W
",Toronto,ON,M4Y 2X9,,Effie.Triantafilopoulos@pc.ola.org,,,,,Oakville North—Burlington,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Economic Development, Job Creation and Trade",7499
